courier_warehouse,active_stuck_shipments,avg_hours_stuck,median_dwell_hours,p90_dwell_hours,priority_category
GACHIBOWLI PUD,0,0.0,22.68,63.9,Prioritize for Clearing
KATRA,0,0.0,23.93,63.89,Prioritize for Clearing
"CHAMORSHI, CHAMORSHI, MAHARASHTRA",0,0.0,54.46,63.75,Prioritize for Clearing
"BHAINSA, BHAINSA, TELANGANA",0,0.0,35.4,63.58,Prioritize for Clearing
"TRL/SA-TNR, TIRUVALLUR, TAMIL NADU",0,0.0,27.77,63.55,Prioritize for Clearing
NARAYANPET,0,0.0,56.86,63.47,Prioritize for Clearing
"VPT/GJW, GAJUWAKA, ANDHRA PRADESH",0,0.0,45.13,63.47,Prioritize for Clearing
MPUM,0,0.0,27.54,63.18,Prioritize for Clearing
NAGPUR HUB,0,0.0,31.43,63.16,Prioritize for Clearing
CHIKKABALLAPURAHUB_CBP,0,0.0,63.09,63.09,Prioritize for Clearing
"BEDIYA, BEDIYA, MADHYA PRADESH",0,0.0,28.03,63.02,Prioritize for Clearing
"KHANDELA, KHANDELA, RAJASTHAN",0,0.0,62.86,62.86,Prioritize for Clearing
ROURKELA HUB,0,0.0,62.59,62.59,Prioritize for Clearing
"CHHAWLHHUM, AIZAWL, MIZORAM",0,0.0,43.64,62.23,Prioritize for Clearing
TWINCITYHUB_HBX,0,0.0,62.21,62.21,Prioritize for Clearing
"JHAJHA, JHAJHA, BIHAR",0,0.0,15.14,62.21,Prioritize for Clearing
HUBLI HUB,0,0.0,62.2,62.2,Prioritize for Clearing
KOLHAPURSPLITHUB_KHL,0,0.0,62.17,62.17,Prioritize for Clearing
ZIRO,0,0.0,33.06,62.07,Prioritize for Clearing
BALRAMPUR,0,0.0,23.87,61.93,Prioritize for Clearing
VIJAYAWADA COUNTER,0,0.0,24.22,61.92,Prioritize for Clearing
"TOHANA, TOHANA, PUNJAB",0,0.0,34.72,61.89,Prioritize for Clearing
HAZRATGANJHUB_LKO,0,0.0,61.7,61.7,Prioritize for Clearing
"KALIKARI, PILER, ANDHRA PRADESH",0,0.0,52.18,61.64,Prioritize for Clearing
DHKE,0,0.0,35.6,61.38,Prioritize for Clearing
RAJENDRA PLACE,0,0.0,43.06,61.19,Prioritize for Clearing
KANGAYAMHUB_KGY,0,0.0,61.04,61.04,Prioritize for Clearing
MANGROL,0,0.0,40.57,60.85,Prioritize for Clearing
JLND,0,0.0,29.19,60.73,Prioritize for Clearing
TADEPALLI,0,0.0,26.48,60.59,Prioritize for Clearing
"BHADRAVATI MH, CHANDRAPUR, MAHARASHTRA",0,0.0,60.37,60.37,Prioritize for Clearing
"BALLABGARH, DELHI NCR, DELHI",0,0.0,36.4,60.35,Prioritize for Clearing
GUINDY SURFACE PUD,0,0.0,25.83,60.25,Prioritize for Clearing
"BARHAJ1, BARHAJ UP, UTTAR PRADESH",0,0.0,60.13,60.13,Prioritize for Clearing
"HOWRAH, WEST BENGAL, IN",0,0.0,48.05,59.96,Prioritize for Clearing
BANASHANKARI,0,0.0,22.5,59.75,Prioritize for Clearing
SANGHVI PUD CENTRE,0,0.0,33.1,59.65,Prioritize for Clearing
"CHIMUR, CHIMUR, MAHARASHTRA",0,0.0,59.64,59.64,Prioritize for Clearing
"UMRED, UMRED, MAHARASHTRA",0,0.0,33.53,59.56,Prioritize for Clearing
"MUMBAI, MH, IN",0,0.0,14.64,59.33,Prioritize for Clearing
KUSHKHERA,0,0.0,17.97,59.19,Prioritize for Clearing
"SINGANALLUR, COIMBATORE, TAMIL NADU",0,0.0,58.97,58.97,Prioritize for Clearing
UPLETA,0,0.0,35.35,58.87,Prioritize for Clearing
"LEHRAGAGA, LEHRAGAGA, PUNJAB",0,0.0,28.76,58.72,Prioritize for Clearing
"GAU/BEL-TML, GUWAHATI, ASSAM",0,0.0,27.25,58.53,Prioritize for Clearing
"BOM/SA-VASAI, VASAI, MAHARASHTRA",0,0.0,36.11,58.43,Prioritize for Clearing
"GOTA, AHMEDABAD, GUJARAT",0,0.0,23.88,58.43,Prioritize for Clearing
MALAD WEST ETAIL CENTER,0,0.0,26.63,58.4,Prioritize for Clearing
"BALUSSERY, KOZHIKODE, KERALA",0,0.0,38.06,58.25,Prioritize for Clearing
LONAVALA,0,0.0,13.12,58.2,Prioritize for Clearing
"VADODARA/KRB, VADODARA, GUJARAT",0,0.0,28.96,58.17,Prioritize for Clearing
ADHR,0,0.0,27.2,58.11,Prioritize for Clearing
"MADANTHYAR, MADANTHYAR, KARNATAKA",0,0.0,58.1,58.1,Prioritize for Clearing
"DODDABALLAPURA, DODDABALLAPURA, KARNATAKA",0,0.0,20.28,57.95,Prioritize for Clearing
"SATYAVEDU, ANDHRA PRADESH, IN",0,0.0,45.94,57.91,Prioritize for Clearing
"HARIDWAR, HARIDWAR, UTTARAKHAND",0,0.0,10.41,57.88,Prioritize for Clearing
"TRIPRAYAR, TRIPRAYAR, KERALA",0,0.0,57.64,57.65,Prioritize for Clearing
SNPD,0,0.0,22.65,57.36,Prioritize for Clearing
DHARAVI,0,0.0,22.78,57.23,Prioritize for Clearing
"PODALAKUR, PODALAKUR, ANDHRA PRADESH",0,0.0,57.02,57.02,Prioritize for Clearing
"MAA/POE, CHENNAI, TAMIL NADU",0,0.0,33.92,56.8,Prioritize for Clearing
"BLR/AMB-TML, BANGALORE, KARNATAKA",0,0.0,31.17,56.77,Prioritize for Clearing
AGR E-TAIL PROCSSING UNIT,0,0.0,18.69,56.75,Prioritize for Clearing
SOUTH DEL WAREHOUSE,0,0.0,22.63,56.75,Prioritize for Clearing
BRAHMAPURMDH_KOL,0,0.0,32.33,56.7,Prioritize for Clearing
CABTBERHAMPURODH_BMP,0,0.0,56.43,56.43,Prioritize for Clearing
"KALASA, KALASA, KARNATAKA",0,0.0,55.77,56.38,Prioritize for Clearing
"DEL/IPX, NEW DELHI, DELHI",0,0.0,25.28,56.05,Prioritize for Clearing
"KOZHIKODE, KERALA, IN",0,0.0,25.48,56.0,Prioritize for Clearing
"AMLA, AMLA, MADHYA PRADESH",0,0.0,55.95,55.95,Prioritize for Clearing
CUNNIGHAMROADHUB_BLR,0,0.0,55.9,55.9,Prioritize for Clearing
"JAYSINGPUR, JAYSINGPUR, MAHARASHTRA",0,0.0,55.9,55.9,Prioritize for Clearing
"KOTTARAKKARA, KOTTARAKKARA, KERALA",0,0.0,40.21,55.82,Prioritize for Clearing
IXMS,0,0.0,27.41,55.77,Prioritize for Clearing
KADM,0,0.0,27.83,55.77,Prioritize for Clearing
SIDM,0,0.0,32.07,55.68,Prioritize for Clearing
"PIPLIA MANDI, MANDSAUR, MADHYA PRADESH",0,0.0,55.68,55.68,Prioritize for Clearing
"CHHAPI, PALANPUR, GUJARAT",0,0.0,55.56,55.56,Prioritize for Clearing
"DEL/OKH2, OKHLA, DELHI",0,0.0,50.87,55.44,Prioritize for Clearing
"KAGAZNAGAR, KAGAZNAGAR, TELANGANA",0,0.0,55.43,55.43,Prioritize for Clearing
SANASWADI,0,0.0,26.73,55.42,Prioritize for Clearing
JMUN,0,0.0,25.82,55.31,Prioritize for Clearing
PUNE WAREHOUSE,0,0.0,24.87,55.24,Prioritize for Clearing
"MAA/MDV-EHV, CHENGALPET, TAMIL NADU",0,0.0,31.71,55.22,Prioritize for Clearing
KHANDAGIRI HUB,0,0.0,55.13,55.13,Prioritize for Clearing
KUNNAMANGALAMHUB_KNM,0,0.0,31.09,55.06,Prioritize for Clearing
"SUNDERGARH, SUNDERGARH, ORISSA",0,0.0,41.42,55.03,Prioritize for Clearing
"RK PETTAI, RANIPET, TAMIL NADU",0,0.0,54.98,54.98,Prioritize for Clearing
BKC ETAIL,0,0.0,23.35,54.94,Prioritize for Clearing
AALO,0,0.0,52.97,54.91,Prioritize for Clearing
SPET,0,0.0,23.76,54.9,Prioritize for Clearing
"VIJAYAMANGALAM, VIJAYAMANGALAM, TAMIL NADU",0,0.0,54.88,54.88,Prioritize for Clearing
"BOM/BYCULLA-TML, MUMBAI, MAHARASHTRA",0,0.0,51.44,54.87,Prioritize for Clearing
CJAM,0,0.0,26.11,54.82,Prioritize for Clearing
"KANIGIRI, KANIGIRI, ANDHRA PRADESH",0,0.0,54.76,54.76,Prioritize for Clearing
GREATER NOIDA PUD,0,0.0,29.6,54.76,Prioritize for Clearing
MANGALORE COUNTER,0,0.0,24.42,54.74,Prioritize for Clearing
"GWL/ANR, GWALIOR, MADHYA PRADESH",0,0.0,52.96,54.71,Prioritize for Clearing
"CHITTOOR, ANDHRA PRADESH, IN",0,0.0,19.68,54.63,Prioritize for Clearing
"BARASAT1, BARASAT, WEST BENGAL",0,0.0,28.65,54.56,Prioritize for Clearing
CHENGAM,0,0.0,35.47,54.54,Prioritize for Clearing
"CHANDUR RAILWAY, CHANDUR RAILWAY, MAHARASHTRA",0,0.0,54.53,54.53,Prioritize for Clearing
"KURUD, DHAMTARI, CHHATTISGARH",0,0.0,31.16,54.43,Prioritize for Clearing
ANJARAKANDYHUB_ANJ,0,0.0,54.31,54.31,Prioritize for Clearing
"AMD/ASV, AHMEDABAD, GUJARAT",0,0.0,22.94,54.26,Prioritize for Clearing
"SHRI MADHOPUR, SHRI MADHOPUR, RAJASTHAN",0,0.0,54.24,54.24,Prioritize for Clearing
"DEL/NDL, NEW DELHI, DELHI",0,0.0,22.6,54.22,Prioritize for Clearing
"CHHATRAPUR, CHHATRAPUR, ORISSA",0,0.0,43.38,54.21,Prioritize for Clearing
"CHIKITI, CHIKITI, ORISSA",0,0.0,42.29,54.16,Prioritize for Clearing
SHIMLA,0,0.0,24.43,54.13,Prioritize for Clearing
"DEL/GGN, DELHI NCR, DELHI",0,0.0,19.4,54.06,Prioritize for Clearing
"TARAGARH, TARAGARH, PUNJAB",0,0.0,54.04,54.04,Prioritize for Clearing
"JHARSUGUDA, JHARSUGUDA, ORISSA",0,0.0,15.39,53.78,Prioritize for Clearing
PHASE2NOIDAHUB_DEL,0,0.0,53.75,53.75,Prioritize for Clearing
"DEL/MBR, DELHI NCR, DELHI",0,0.0,20.64,53.74,Prioritize for Clearing
BORV,0,0.0,22.18,53.73,Prioritize for Clearing
NOIDA KHODA CENTER,0,0.0,14.47,53.59,Prioritize for Clearing
ABANGO,0,0.0,53.54,53.54,Prioritize for Clearing
VASAI ROAD ETAIL,0,0.0,16.48,53.45,Prioritize for Clearing
"SHAHADA, SHAHADA, MAHARASHTRA",0,0.0,53.44,53.44,Prioritize for Clearing
"NGP/VKN, NAGPUR, MAHARASHTRA",0,0.0,35.39,53.43,Prioritize for Clearing
KURLA E-TAIL CENTRE,0,0.0,25.2,53.31,Prioritize for Clearing
EDAKOCHI,0,0.0,9.24,53.28,Prioritize for Clearing
KHAR E-TAIL,0,0.0,25.67,53.23,Prioritize for Clearing
KALYANI BDEL,0,0.0,29.47,53.23,Prioritize for Clearing
KAUPHUB_MPL,0,0.0,53.2,53.2,Prioritize for Clearing
"AMRELI1, AMRELI, GUJARAT",0,0.0,36.79,53.14,Prioritize for Clearing
"PANIPAT, PANIPAT, HARYANA",0,0.0,52.9,53.12,Prioritize for Clearing
KORAPUT TOWN,0,0.0,43.71,53.06,Prioritize for Clearing
SARKHEJ TEMP WARE HOUSE,0,0.0,22.25,53.02,Prioritize for Clearing
WTFD,0,0.0,24.8,53.02,Prioritize for Clearing
"DKU, KALYAN, MAHARASHTRA",0,0.0,25.67,53.01,Prioritize for Clearing
"HYD/VAP, HYDERABAD, TELANGANA",0,0.0,27.29,52.99,Prioritize for Clearing
"AISHMUQAM, ANANTNAG, JAMMU AND KASHMIR",0,0.0,52.97,52.97,Prioritize for Clearing
SAHAHAPUR,0,0.0,23.95,52.97,Prioritize for Clearing
WANAPARTHY,0,0.0,28.58,52.94,Prioritize for Clearing
BIHARSHARIF OFFICE,0,0.0,29.6,52.88,Prioritize for Clearing
BHIWANDI APEX/SFC,0,0.0,25.5,52.83,Prioritize for Clearing
"DASUYA, MUKERIAN, PUNJAB",0,0.0,44.27,52.81,Prioritize for Clearing
AMBEDKAR CHOWK PUD CENTER,0,0.0,29.92,52.79,Prioritize for Clearing
"HYD/ABS, HYDERABAD, TELANGANA",0,0.0,28.98,52.79,Prioritize for Clearing
SIRSILLA REACH,0,0.0,25.17,52.79,Prioritize for Clearing
SOPORE,0,0.0,36.48,52.77,Prioritize for Clearing
UJJAIN RSP,0,0.0,23.03,52.77,Prioritize for Clearing
"VADODARA/WGD, VADODARA, GUJARAT",0,0.0,27.51,52.72,Prioritize for Clearing
MLRE,0,0.0,25.8,52.6,Prioritize for Clearing
"SAUNDATTI, SAUNDATTI, KARNATAKA",0,0.0,31.36,52.55,Prioritize for Clearing
DOMBIVALI BDEL,0,0.0,27.28,52.44,Prioritize for Clearing
ALWAR,0,0.0,12.96,52.4,Prioritize for Clearing
SARKHEJ PUD,0,0.0,23.35,52.35,Prioritize for Clearing
"VAPI, VAPI, GUJARAT",0,0.0,29.45,52.33,Prioritize for Clearing
HALDIA,0,0.0,24.2,52.23,Prioritize for Clearing
CBVS,0,0.0,1.48,52.13,Prioritize for Clearing
HRDN,0,0.0,32.46,52.06,Prioritize for Clearing
CHOS,0,0.0,28.66,52.06,Prioritize for Clearing
"BOM/BDP-TML, MUMBAI, MAHARASHTRA",0,0.0,44.57,52.05,Prioritize for Clearing
VIMN,0,0.0,23.71,52.03,Prioritize for Clearing
"MANDOR RJ, MANDOR RJ, RAJASTHAN",0,0.0,52.01,52.01,Prioritize for Clearing
GOIH,0,0.0,30.01,51.98,Prioritize for Clearing
TARAPUR,0,0.0,38.03,51.95,Prioritize for Clearing
BAREILLYBYPAASHUB_BRY,0,0.0,28.92,51.92,Prioritize for Clearing
"DHODHA, DHODHA, CHHATTISGARH",0,0.0,23.88,51.83,Prioritize for Clearing
"RSC/UJJAIN, UJJAIN, MADHYA PRADESH",0,0.0,37.85,51.68,Prioritize for Clearing
JAIH,0,0.0,24.72,51.58,Prioritize for Clearing
"CALANGUTE, MAPUSA GOA, GOA",0,0.0,38.19,51.54,Prioritize for Clearing
VADAPALANI,0,0.0,24.88,51.52,Prioritize for Clearing
KESHAV NAGAR,0,0.0,28.45,51.48,Prioritize for Clearing
PIRANGUT,0,0.0,27.0,51.39,Prioritize for Clearing
"MARGAO, MARGAO, GOA",0,0.0,34.93,51.35,Prioritize for Clearing
PORUR,0,0.0,24.62,51.34,Prioritize for Clearing
PANIPAT IOCL OFFICE,0,0.0,51.28,51.28,Prioritize for Clearing
"JMU/RAJOURI, RAJOURI, JAMMU AND KASHMIR",0,0.0,51.26,51.26,Prioritize for Clearing
"AGARMALWA, AGARMALWA, MADHYA PRADESH",0,0.0,51.18,51.18,Prioritize for Clearing
"METTUPALAYAM, TAMILNADU, IN",0,0.0,51.15,51.17,Prioritize for Clearing
HTCY,0,0.0,23.37,51.16,Prioritize for Clearing
"NANDIPET, NIZAMABAD, TELANGANA",0,0.0,51.15,51.15,Prioritize for Clearing
"BLR/SRN-TML, BANGALORE, KARNATAKA",0,0.0,23.26,51.15,Prioritize for Clearing
"TIBBI, TIBBI, RAJASTHAN",0,0.0,41.51,51.14,Prioritize for Clearing
"PITHAMPUR, PITHAMPUR, MADHYA PRADESH",0,0.0,40.13,51.14,Prioritize for Clearing
"SHIVAPURA, SHIVAPURA, KARNATAKA",0,0.0,28.44,51.1,Prioritize for Clearing
"RPR/BHT, RAIPUR, CHHATTISGARH",0,0.0,13.36,51.06,Prioritize for Clearing
NARIMAN POINT,0,0.0,51.03,51.03,Prioritize for Clearing
"PANDEERANKAVU, PANDEERANKAVU, KERALA",0,0.0,51.03,51.03,Prioritize for Clearing
BANGALORE HUB,0,0.0,23.49,51.01,Prioritize for Clearing
DEVANAHALLIHUB_DHL,0,0.0,51.01,51.01,Prioritize for Clearing
MORADABAD EXPANSION,0,0.0,49.3,50.98,Prioritize for Clearing
"DHUBURI, GOALPARA, ASSAM",0,0.0,50.88,50.88,Prioritize for Clearing
"BARAMULLA JK, BARAMULLA, JAMMU AND KASHMIR",0,0.0,42.16,50.87,Prioritize for Clearing
SLTE,0,0.0,24.75,50.82,Prioritize for Clearing
HARDOI,0,0.0,25.03,50.81,Prioritize for Clearing
BELGIUM SQUARE OFFICE.,0,0.0,26.22,50.78,Prioritize for Clearing
"KAJALGAON, BONGAIGAON, ASSAM",0,0.0,38.76,50.76,Prioritize for Clearing
DANTEWARA,0,0.0,48.77,50.74,Prioritize for Clearing
"TIRUPUR/SOUTH-TML, TIRUPUR, TAMIL NADU",0,0.0,50.74,50.74,Prioritize for Clearing
KAKKANAD,0,0.0,49.88,50.74,Prioritize for Clearing
"THOPPUMPADI, THOPPUMPADI, KERALA",0,0.0,40.19,50.74,Prioritize for Clearing
ALWAR HUB,0,0.0,50.73,50.73,Prioritize for Clearing
"GUNTUR, ANDHRA PRADESH, IN",0,0.0,10.74,50.71,Prioritize for Clearing
HOODIHUB_BLR,0,0.0,50.69,50.69,Prioritize for Clearing
KADAPA,0,0.0,13.99,50.67,Prioritize for Clearing
"AMD/BPL-TML, AHMEDABAD, GUJARAT",0,0.0,23.04,50.64,Prioritize for Clearing
KALYAN BDEL,0,0.0,26.89,50.6,Prioritize for Clearing
"GOKAK1, GOKAK, KARNATAKA",0,0.0,50.58,50.58,Prioritize for Clearing
BALDWARA,0,0.0,35.69,50.57,Prioritize for Clearing
"HYD/SAI, HYDERABAD, TELANGANA",0,0.0,44.84,50.54,Prioritize for Clearing
WANAPARTHY REACH,0,0.0,50.5,50.5,Prioritize for Clearing
AIRPORTRDHUB_HSS,0,0.0,28.62,50.46,Prioritize for Clearing
BOPL,0,0.0,18.25,50.46,Prioritize for Clearing
AMBERNATH,0,0.0,31.33,50.43,Prioritize for Clearing
PONNAMPET,0,0.0,50.43,50.43,Prioritize for Clearing
"TILDA, TILDA, CHHATTISGARH",0,0.0,27.22,50.4,Prioritize for Clearing
CHAMBA,0,0.0,46.06,50.39,Prioritize for Clearing
MANPADA SERVICE CENTRE,0,0.0,26.78,50.38,Prioritize for Clearing
PATHARKANDI,0,0.0,50.38,50.38,Prioritize for Clearing
JAGUN,0,0.0,50.37,50.37,Prioritize for Clearing
SHADOWFAXSUNAMODH_SUN,0,0.0,50.35,50.35,Prioritize for Clearing
LUDHIANA HUB,0,0.0,50.32,50.32,Prioritize for Clearing
AMRUT KIRANA STORE SURAT,0,0.0,23.35,50.29,Prioritize for Clearing
"CCU/TOL, KOLKATA, WEST BENGAL",0,0.0,29.83,50.28,Prioritize for Clearing
"CHITHARA, CHITHARA, KERALA",0,0.0,50.28,50.28,Prioritize for Clearing
"MAA/TVD-TML, CHENNAI, TAMIL NADU",0,0.0,26.42,50.23,Prioritize for Clearing
MYSR,0,0.0,22.96,50.21,Prioritize for Clearing
"KURKHEDA, KURKHUDE, MAHARASHTRA",0,0.0,39.93,50.19,Prioritize for Clearing
ASKN,0,0.0,26.92,50.16,Prioritize for Clearing
"HUBLI, HUBLI, KARNATAKA",0,0.0,20.8,50.15,Prioritize for Clearing
"TANDUR, TANDUR, TELANGANA",0,0.0,50.12,50.12,Prioritize for Clearing
"ULLIYERI, ULLIYERI, KERALA",0,0.0,50.11,50.11,Prioritize for Clearing
SEEPZ,0,0.0,22.2,50.11,Prioritize for Clearing
"ANANTHAPUR, ANDHRA PRADESH, IN",0,0.0,50.08,50.08,Prioritize for Clearing
BOMMIDI,0,0.0,50.08,50.08,Prioritize for Clearing
"BADAMI, BADAMI, KARNATAKA",0,0.0,50.01,50.01,Prioritize for Clearing
PANRUTI,0,0.0,16.51,49.97,Prioritize for Clearing
VARKALA,0,0.0,39.95,49.96,Prioritize for Clearing
KOM SERVICE CENTRE,0,0.0,7.66,49.91,Prioritize for Clearing
"KANTI, KANTI, BIHAR",0,0.0,28.08,49.9,Prioritize for Clearing
"TALCHER, TALCHER, ORISSA",0,0.0,49.86,49.86,Prioritize for Clearing
"KAPASAN1, KAPASAN, RAJASTHAN",0,0.0,49.84,49.84,Prioritize for Clearing
SORABHA,0,0.0,49.83,49.83,Prioritize for Clearing
"ELATHUR, ELATHUR, KERALA",0,0.0,37.13,49.82,Prioritize for Clearing
LALCHOWK SERVICE CENTRE,0,0.0,49.78,49.78,Prioritize for Clearing
ANTARIKSH,0,0.0,37.51,49.78,Prioritize for Clearing
KPHB,0,0.0,26.78,49.78,Prioritize for Clearing
BAREILLY HUB,0,0.0,28.24,49.69,Prioritize for Clearing
BHOWANIPUR,0,0.0,28.45,49.67,Prioritize for Clearing
"MAA/RPM-TML, CHENNAI, TAMIL NADU",0,0.0,30.78,49.63,Prioritize for Clearing
"KARJAN, BHAVNAGAR, GUJARAT",0,0.0,49.6,49.6,Prioritize for Clearing
"MAA/MDM-TML, CHENNAI, TAMIL NADU",0,0.0,37.58,49.58,Prioritize for Clearing
"RANGIYA, RANGIYA, ASSAM",0,0.0,49.57,49.57,Prioritize for Clearing
HARIDWAR,0,0.0,13.4,49.55,Prioritize for Clearing
"FATEHPUR KNP, FATEHPUR, UTTAR PRADESH",0,0.0,36.52,49.54,Prioritize for Clearing
"DEL/GPM, DELHI NCR, DELHI",0,0.0,15.81,49.51,Prioritize for Clearing
"NAGOD, NAGOD, MADHYA PRADESH",0,0.0,30.99,49.51,Prioritize for Clearing
KALKA,0,0.0,22.73,49.47,Prioritize for Clearing
"HINGNA, NAGPUR, MAHARASHTRA",0,0.0,49.42,49.42,Prioritize for Clearing
"KANKIPADU, KANKIPADU, ANDHRA PRADESH",0,0.0,49.39,49.39,Prioritize for Clearing
JALPAIGURI OFFICE,0,0.0,38.89,49.38,Prioritize for Clearing
DELHI CANTONMENT,0,0.0,18.57,49.37,Prioritize for Clearing
"HYD/BWN-TML, HYDERABAD, TELANGANA",0,0.0,28.92,49.27,Prioritize for Clearing
DMLR,0,0.0,24.68,49.22,Prioritize for Clearing
SMGD,0,0.0,24.35,49.2,Prioritize for Clearing
"MANALI-TML, CHENNAI, TAMIL NADU",0,0.0,49.06,49.06,Prioritize for Clearing
RECKONG PEO,0,0.0,27.87,49.04,Prioritize for Clearing
CHERPULASERRY,0,0.0,37.89,49.02,Prioritize for Clearing
"DEL/RKP, NEW DELHI, DELHI",0,0.0,22.33,48.9,Prioritize for Clearing
"BIJAPUR, BIJAPUR, KARNATAKA",0,0.0,31.63,48.87,Prioritize for Clearing
"BAJPE, BAJPE, KARNATAKA",0,0.0,48.87,48.87,Prioritize for Clearing
NAUTANWA MAHARAJGANJ,0,0.0,48.84,48.84,Prioritize for Clearing
MAJIWADA ETAIL OFFICE,0,0.0,25.61,48.72,Prioritize for Clearing
KOCHI - KCI,0,0.0,17.3,48.7,Prioritize for Clearing
NAG,0,0.0,41.96,48.66,Prioritize for Clearing
"BRAHMAVAR, BRAHMAVAR, KARNATAKA",0,0.0,48.59,48.59,Prioritize for Clearing
LONI KALBHOR,0,0.0,16.18,48.58,Prioritize for Clearing
"BENGABAD, BENGABAD, JHARKHAND",0,0.0,45.18,48.57,Prioritize for Clearing
VIKAS NAGAR,0,0.0,26.08,48.51,Prioritize for Clearing
ADAJAN,0,0.0,24.62,48.48,Prioritize for Clearing
"NAGINA, NAGINA, UTTAR PRADESH",0,0.0,41.64,48.48,Prioritize for Clearing
JAISINGHPUR,0,0.0,48.39,48.39,Prioritize for Clearing
BARNALAHUB_BRN,0,0.0,48.38,48.38,Prioritize for Clearing
BASTIHUB_BTI,0,0.0,48.27,48.27,Prioritize for Clearing
PALONCHA,0,0.0,38.04,48.21,Prioritize for Clearing
DHANGDHRA,0,0.0,41.92,48.2,Prioritize for Clearing
NANDIGAMA,0,0.0,32.46,48.17,Prioritize for Clearing
"GAU/KYQ, GUWAHATI, ASSAM",0,0.0,26.87,48.17,Prioritize for Clearing
GOMN,0,0.0,21.49,48.17,Prioritize for Clearing
AIROLI SERVICE CENTRE,0,0.0,26.72,48.07,Prioritize for Clearing
"DEL/SDL-EHV, NEW DELHI, DELHI",0,0.0,21.55,48.07,Prioritize for Clearing
"FARIDKOT, FARIDKOT, PUNJAB",0,0.0,39.85,48.01,Prioritize for Clearing
KNDE,4,69.02,5.81,47.47,Ignore
LUCKNOW,4,58.1,17.14,46.51,Ignore
VKND,4,61.36,21.79,41.72,Ignore
THANE,4,68.96,13.73,31.46,Ignore
CHENNAI AIRPORT HUB,4,61.44,6.59,21.28,Ignore
"PNJ/HUB, PORVORIM, GOA",4,64.33,5.96,14.94,Ignore
"CCU/LH1, KOLKATA, WEST BENGAL",3,49.76,6.76,34.74,Ignore
RJCX,3,54.32,2.88,30.31,Ignore
BENGALURU TRANSIT HU,3,56.74,7.6,25.22,Ignore
MUMBAI HUB,3,61.25,4.88,13.79,Ignore
DELHI HUB (DELW),2,54.51,20.56,42.1,Ignore
ZKPR,2,50.61,13.62,35.31,Ignore
DELHI,2,57.43,6.09,26.87,Ignore
DELHI OFFSITE HUB,2,48.53,18.53,26.27,Ignore
OVALI ETAIL UNIT,2,59.49,13.03,25.52,Ignore
SAROLI ETAIL OPERATIONS,2,55.42,2.67,10.85,Ignore
"PAT/ARP, PATNA, BIHAR",1,189.49,27.95,47.33,Ignore
PATH,1,62.93,25.25,46.75,Ignore
"PNQ/LH1, PUNE, MAHARASHTRA",1,84.22,15.73,46.21,Ignore
HRBS,1,230.75,23.83,45.97,Ignore
NATIONAL HIGHWAY HUB,1,51.32,11.6,43.88,Ignore
UDI AIR HUB,1,59.55,22.85,42.58,Ignore
VIJAYAWADA,1,51.8,14.38,40.9,Ignore
HYDERABAD - HYD,1,89.68,15.16,40.88,Ignore
"MAA/PAL-TML, CHENNAI, TAMIL NADU",1,68.4,24.15,40.72,Ignore
"SHIKOHABAD, SHIKOHABAD, UTTAR PRADESH",1,92.33,25.66,40.19,Ignore
ANDHERI (ADHR),1,344.35,19.8,38.14,Ignore
GANGTOK OFFICE,1,116.32,24.28,36.74,Ignore
BALOTRA,1,68.71,35.07,35.07,Ignore
"SANWER, SANWER, MADHYA PRADESH",1,67.31,32.68,34.95,Ignore
RAJKOT,1,119.78,28.49,34.85,Ignore
"MUMBAI, MAHARASHTRA, IN",1,89.11,10.38,33.28,Ignore
BILASPUR MINI HUB (A,1,70.28,10.83,33.2,Ignore
PONDICHERRY,1,51.26,10.73,32.78,Ignore
NARSINGI,1,106.1,21.03,31.51,Ignore
FATEHGARH SAHIB,1,230.5,25.02,31.37,Ignore
CHENNAI - MAA,1,82.92,18.2,31.1,Ignore
"BANGALORE, KARNATAKA, IN",1,153.08,12.53,30.91,Ignore
"SURAT/ROC-TML, SURAT, GUJARAT",1,93.71,15.73,30.46,Ignore
VASHI MINI HUB,1,462.42,9.08,29.93,Ignore
AHMEDABAD,1,184.28,15.71,29.8,Ignore
NAGPUR,1,70.22,6.75,29.79,Ignore
"BLR/VAR-TML, BANGALORE, KARNATAKA",1,422.31,26.11,29.35,Ignore
"UMBERGAON, UMBERGAON, GUJARAT",1,66.64,28.51,29.27,Ignore
"DEL/IMT, DELHI NCR, DELHI",1,63.08,23.51,28.68,Ignore
SURYAPET,1,48.8,12.43,28.58,Ignore
AGRA HUB,1,69.62,9.68,28.52,Ignore
FARIDABAD SERVICE CENTRE,1,65.5,5.33,27.75,Ignore
"AGARTALA, AGARTALA, TRIPURA",1,114.87,10.31,27.41,Ignore
"NGP/MNR, NAGPUR, MAHARASHTRA",1,66.21,19.19,27.4,Ignore
"BOM/DSR, MUMBAI, MAHARASHTRA",1,62.51,22.97,27.35,Ignore
"HYDERABAD, TELANGANA, IN",1,62.58,11.03,27.26,Ignore
HATHRAS,1,129.45,18.6,27.07,Ignore
"MUDDEBIHAL1, MUDDEBIHAL, KARNATAKA",1,66.64,26.95,26.95,Ignore
"RAIGAD, MAHARASHTRA, IN",1,65.51,26.49,26.49,Ignore
INDORE,1,87.8,13.77,26.33,Ignore
