courier_warehouse,active_stuck_shipments,avg_hours_stuck,median_dwell_hours,p90_dwell_hours,priority_category
PARRYS,0,0.0,37.63,86.63,Prioritize for Clearing
"NAGAUR, NAGAUR, RAJASTHAN",0,0.0,37.34,86.54,Prioritize for Clearing
"HYD/NAL-TML, HYDERABAD, TELANGANA",0,0.0,23.24,86.51,Prioritize for Clearing
ALMORA,0,0.0,31.87,86.05,Prioritize for Clearing
TRANSPORT NAGAR LUCKNOW (LCKT),0,0.0,13.96,86.0,Prioritize for Clearing
GUNC,0,0.0,42.73,85.39,Prioritize for Clearing
"BLR/HUL-TML, BANGALORE, KARNATAKA",0,0.0,24.8,85.02,Prioritize for Clearing
PATTOMHUB_TRV,0,0.0,47.73,83.44,Prioritize for Clearing
VRS APEX/SFC PUD,0,0.0,82.98,82.98,Prioritize for Clearing
BUXARHUB_BXR,0,0.0,82.84,82.84,Prioritize for Clearing
TEMPLECITYHUB_IXM,0,0.0,82.33,82.33,Prioritize for Clearing
SASKODUNGALLURODH_KLL,0,0.0,82.07,82.07,Prioritize for Clearing
NOHAR,0,0.0,34.48,82.0,Prioritize for Clearing
"CANACONA, GOA, GOA",0,0.0,38.21,81.79,Prioritize for Clearing
"WAIDHAN, WAIDHAN, MADHYA PRADESH",0,0.0,39.52,81.7,Prioritize for Clearing
HOOGLY BDEL,0,0.0,24.33,81.03,Prioritize for Clearing
"MAJALGAON, MAJALGAON, MAHARASHTRA",0,0.0,80.79,80.79,Prioritize for Clearing
KORAMANGALA,0,0.0,10.55,80.27,Prioritize for Clearing
"IXG/STH-TML, BELGAUM, KARNATAKA",0,0.0,69.14,80.12,Prioritize for Clearing
"HYD/SBD-TML, HYDERABAD, TELANGANA",0,0.0,80.1,80.1,Prioritize for Clearing
"PNQ/DPR, PUNE, MAHARASHTRA",0,0.0,26.37,80.02,Prioritize for Clearing
"BHO/LGT-TML, BHOPAL, MADHYA PRADESH",0,0.0,40.07,79.83,Prioritize for Clearing
"MACHHAGAON, MACHHAGAON, ORISSA",0,0.0,53.53,79.58,Prioritize for Clearing
VARANASI (VRNS),0,0.0,20.99,78.7,Prioritize for Clearing
"ASHOKNAGAR, ASHOKNAGAR, MADHYA PRADESH",0,0.0,77.78,77.78,Prioritize for Clearing
RAMAGUDAM,0,0.0,72.02,77.76,Prioritize for Clearing
"DAMOH, DAMOH, MADHYA PRADESH",0,0.0,24.09,77.26,Prioritize for Clearing
"KOTMA, KOTMA, MADHYA PRADESH",0,0.0,77.13,77.13,Prioritize for Clearing
"DAHINA, DAHINA, HARYANA",0,0.0,76.55,76.55,Prioritize for Clearing
TIRUVALLA HUB,0,0.0,76.04,76.04,Prioritize for Clearing
"ANKLESHWAR, ANKLESHWAR, GUJARAT",0,0.0,57.02,76.03,Prioritize for Clearing
"MANAULI, MANAULI, PUNJAB",0,0.0,76.03,76.03,Prioritize for Clearing
DAMODAR NAGAR,0,0.0,75.62,75.62,Prioritize for Clearing
"DEL/MTN, NEW DELHI, DELHI",0,0.0,24.02,75.53,Prioritize for Clearing
"BBN/MIE, BHUBANESWAR, ORISSA",0,0.0,45.68,75.5,Prioritize for Clearing
"MOHALI, MOHALI, PUNJAB",0,0.0,28.41,75.37,Prioritize for Clearing
KONDHWA,0,0.0,20.47,75.29,Prioritize for Clearing
KARUR HUB,0,0.0,75.17,75.17,Prioritize for Clearing
"CHANDANESWAR, CHANDANESWAR, ORISSA",0,0.0,75.02,75.02,Prioritize for Clearing
"CHATHANNUR, CHATHANNUR, KERALA",0,0.0,55.59,75.01,Prioritize for Clearing
"BHIKANGAON, BHIKANGAON, MADHYA PRADESH",0,0.0,74.83,74.83,Prioritize for Clearing
"DEL/KMP, NEW DELHI, DELHI",0,0.0,48.99,74.83,Prioritize for Clearing
"PILIBHIT, PILIBHIT, UTTAR PRADESH",0,0.0,25.7,74.57,Prioritize for Clearing
"ISLAMPUR, ISLAMPUR, WEST BENGAL",0,0.0,54.7,74.55,Prioritize for Clearing
MIDNAPORE,0,0.0,74.32,74.32,Prioritize for Clearing
"LEH, JAMMU & KASHMIR, IN",0,0.0,61.6,74.31,Prioritize for Clearing
"BADRAWAS MP, BADRAWAS, MADHYA PRADESH",0,0.0,74.28,74.28,Prioritize for Clearing
CTKE,0,0.0,23.51,74.27,Prioritize for Clearing
AYYANTHOLEHUB_AYY,0,0.0,2.32,74.15,Prioritize for Clearing
CABTMAIDANODH_KOL,0,0.0,74.12,74.12,Prioritize for Clearing
BHAWANIPURSPLITODH_KOL,0,0.0,74.02,74.02,Prioritize for Clearing
"GOA/MRG, GOA, GOA",0,0.0,44.19,73.91,Prioritize for Clearing
"BALUGAON, BALUGAON, ORISSA",0,0.0,73.88,73.88,Prioritize for Clearing
"DEOGHAR, JHARKHAND, IN",0,0.0,37.73,73.74,Prioritize for Clearing
KATHUA,0,0.0,21.47,73.72,Prioritize for Clearing
AVINASHI ROAD HUB,0,0.0,41.47,73.52,Prioritize for Clearing
"MAGAM, MAGAM, JAMMU AND KASHMIR",0,0.0,50.26,73.36,Prioritize for Clearing
MSRS,0,0.0,26.02,73.22,Prioritize for Clearing
"BHUNTER, BHUNTER, HIMACHAL PRADESH",0,0.0,36.59,73.08,Prioritize for Clearing
FEROKEHUB_FRK,0,0.0,72.99,72.99,Prioritize for Clearing
"HYD/SRN-TML, HYDERABAD, TELANGANA",0,0.0,53.7,72.85,Prioritize for Clearing
JAMSHEDPUR E-TAIL CENTRE,0,0.0,24.48,72.78,Prioritize for Clearing
"KHIRKIYA, KHIRKIYA, MADHYA PRADESH",0,0.0,72.64,72.64,Prioritize for Clearing
SRINAGAR,0,0.0,43.31,72.62,Prioritize for Clearing
CANK,0,0.0,27.87,72.6,Prioritize for Clearing
NSKH,0,0.0,27.87,72.59,Prioritize for Clearing
CHALLAPALLI REACH,0,0.0,68.46,72.37,Prioritize for Clearing
"KEERANUR, KEERANUR, TAMIL NADU",0,0.0,51.17,72.36,Prioritize for Clearing
SRM COLLEGE,0,0.0,21.34,72.07,Prioritize for Clearing
"AMBKP/AMBIKAPUR, AMBIKAPUR, CHHATTISGARH",0,0.0,23.89,72.01,Prioritize for Clearing
"MAHUA, MAHUA, BIHAR",0,0.0,23.95,71.85,Prioritize for Clearing
GAYA HUB,0,0.0,71.7,71.7,Prioritize for Clearing
MUGALSARAI,0,0.0,6.09,71.62,Prioritize for Clearing
CHAPRAHUB_CPR,0,0.0,71.57,71.57,Prioritize for Clearing
MRGO,0,0.0,25.11,71.54,Prioritize for Clearing
BHIMAVARAM,0,0.0,21.35,70.96,Prioritize for Clearing
"KANPUR, UTTAR PRADESH, IN",0,0.0,25.11,70.68,Prioritize for Clearing
HANSI,0,0.0,59.12,70.65,Prioritize for Clearing
THNM,0,0.0,27.41,70.46,Prioritize for Clearing
CHAVAKKADHUB_GYO,0,0.0,48.53,70.45,Prioritize for Clearing
TATL,0,0.0,24.37,70.43,Prioritize for Clearing
"DEHLON, DEHLON, PUNJAB",0,0.0,27.77,70.4,Prioritize for Clearing
KHARAR E-TAIL,0,0.0,30.32,70.34,Prioritize for Clearing
"MUMBAI CENTRAL, MUMBAI, MAHARASHTRA",0,0.0,33.68,70.1,Prioritize for Clearing
BODELI,0,0.0,51.21,70.02,Prioritize for Clearing
SPEEDER COURIER POWERFLEX TIRUCHIRAPPALLI,0,0.0,70.01,70.01,Prioritize for Clearing
KOCHI HUB (COKW),0,0.0,33.41,69.99,Prioritize for Clearing
"MAA/ROY-TML, CHENNAI, TAMIL NADU",0,0.0,27.42,69.82,Prioritize for Clearing
"JAORA, JAORA, MADHYA PRADESH",0,0.0,49.24,69.71,Prioritize for Clearing
SUNDERGARH OFFICE,0,0.0,52.15,69.7,Prioritize for Clearing
NATIONAL HIGHWAY EXT,0,0.0,17.07,69.67,Prioritize for Clearing
AGARTALA,0,0.0,38.51,69.57,Prioritize for Clearing
"DEL/WDL-EHV1, NEW DELHI, DELHI",0,0.0,51.69,69.25,Prioritize for Clearing
"DHARIWAL, GURDASPUR, PUNJAB",0,0.0,47.51,69.21,Prioritize for Clearing
"METPALLY, METPALLY, TELANGANA",0,0.0,53.85,69.1,Prioritize for Clearing
"MAA/ICF-TML, CHENNAI, TAMIL NADU",0,0.0,23.13,69.08,Prioritize for Clearing
"DEL/EDL, NEW DELHI, DELHI",0,0.0,42.01,68.89,Prioritize for Clearing
"SALEM/KDMPT, SALEM, TAMIL NADU",0,0.0,22.52,68.66,Prioritize for Clearing
BHAVNAGAR SERVICE CENTRE,0,0.0,22.5,68.65,Prioritize for Clearing
CHHINDWARA EXPANSION,0,0.0,35.68,68.62,Prioritize for Clearing
OLDTOWNHUB_BBI,0,0.0,68.5,68.5,Prioritize for Clearing
PALLURUTHYHUB_PRT,0,0.0,38.53,68.37,Prioritize for Clearing
SONBHADRA,0,0.0,21.65,67.81,Prioritize for Clearing
"MANDYA-TML, MANDYA, KARNATAKA",0,0.0,67.62,67.62,Prioritize for Clearing
"RAJNANDGAON1, RAJNANDGAON, CHHATTISGARH",0,0.0,19.19,67.53,Prioritize for Clearing
"PUDUKKOTTAI, PUDUKKOTTAI, TAMIL NADU",0,0.0,38.28,67.08,Prioritize for Clearing
MKPV,0,0.0,23.65,66.71,Prioritize for Clearing
PANVEL WAREOUSE,0,0.0,49.34,66.67,Prioritize for Clearing
VZGP,0,0.0,26.81,66.67,Prioritize for Clearing
"BLR/BTM-TML, BANGALORE, KARNATAKA",0,0.0,21.68,66.53,Prioritize for Clearing
MFPE,0,0.0,25.28,66.48,Prioritize for Clearing
ALWAL,0,0.0,26.57,66.45,Prioritize for Clearing
"BHOTA, BHOTA, HIMACHAL PRADESH",0,0.0,35.53,66.06,Prioritize for Clearing
DELHI SAMALKHA WAREH,0,0.0,42.82,65.83,Prioritize for Clearing
CNVS,0,0.0,17.06,65.78,Prioritize for Clearing
"HYD/BRG-TML, HYDERABAD, TELANGANA",0,0.0,28.65,65.73,Prioritize for Clearing
"DAUSA FM, DAUSA, RAJASTHAN",0,0.0,39.3,65.69,Prioritize for Clearing
"PAMPORA, JAMMU KASHMIR, IN",0,0.0,45.96,65.53,Prioritize for Clearing
"DEL/FKN, DELHI NCR, DELHI",0,0.0,26.3,65.43,Prioritize for Clearing
"SRI RAMAPURAM, SRI RAMPURAM, TAMIL NADU",0,0.0,44.97,64.82,Prioritize for Clearing
DEDH,0,0.0,25.01,64.74,Prioritize for Clearing
"K R NAGAR, K R NAGAR, KARNATAKA",0,0.0,28.61,64.67,Prioritize for Clearing
SRICITY,0,0.0,45.92,64.61,Prioritize for Clearing
RAMGANJ,0,0.0,35.83,64.59,Prioritize for Clearing
"DALHOUSIE, DALHOUSIE, HIMACHAL PRADESH",0,0.0,21.58,64.28,Prioritize for Clearing
"VIJ/VIJ, VIJAYAWADA, ANDHRA PRADESH",0,0.0,28.74,64.11,Prioritize for Clearing
AMROHA,0,0.0,23.82,64.07,Prioritize for Clearing
"NOIDA, UTTAR PRADESH, IN",0,0.0,7.01,63.93,Prioritize for Clearing
